id,question,reponse,answer
46.0,Comment activer le Contrôle Parental ?,"Le parent doit utiliser le téléphone de l'enfant pour activer le service et suivre les étapes suivantes : Composer la syntaxe *164# , Sélectionner ""Activer"" , Insérer le Numéro Djezzy du parent, Choisir un mot de passe, puis le confirmer. Le parent recevra un SMS confirmant l'activation et un autre message de configuration de l'APN Djezzy à installer sur le mobile de l'enfant « djezzy.control ».",
47.0,Comment désactiver le Contrôle Parental ?,"Le parent doit utiliser le téléphone de l'enfant pour désactiver le service et suivre les étapes suivantes : Composer la syntaxe *164# , Sélectionner ""Désactiver"" , Introduire le mot de passe , Installer les paramètres de configuration internet reçus par SMS.",
48.0,"J'ai oublié le mot de passe du contrôle parental. ^
Comment puis-je le récupérer ?","Le parent doit utiliser son téléphone et suivre les étapes suivantes : Composer la syntaxe *164# , Sélectionner « Mot de passe oublié » , Saisir le numéro de téléphone de l'enfant , Saisir le code PIN2 du parent , Recevoir un SMS contenant un nouveau mot de passe.",
49.0,Service clientèle Particuliers,Le 777 est le numéro dédié aux clients particuliers Djezzy. Centre disponible 24/7. Numéro long : 0770 857777. Service également accessible par e-mail : service-clientele@djezzy.dz ou via la syntaxe *777#,
50.0,Service Clientèle Entreprises (B2B),"Le 788 est le numéro dédié aux clients Entreprises
Djezzy (B2B). Centre disponible tous les jours de 08h00 à 20h30. Numéro long: 0770 85 77 88. Service également accessible par e-mail :
djezzy.entreprise@djezzy.dz",
51.0,Service Points de vente,"Le 401 est le service dédié aux points de vente Djezzy.
Centre disponible tous les jours de 08h00 à 20h30.
Service également accessible par e-mail :
djezzy.pdv@djezzy.dz",
52.0,787 - Service infos facture,Le service est dédié aux abonnés postpayés particuliers. Composez le 787 ou *787# pour obtenir toutes les informations sur vos factures.,
53.0,718 - Annuaire Professionnel,"Le 718 est un service de recherche pour les clients
Djezzy afin d'obtenir des informations sur une entreprise ou son domaine. Centre disponible tous les jours de 08h00 à 20h30. Tarifs: Appel 30 DA, SMS avec coordonnées 10 DA.",
54.0,720 - Souscription aux offres mixtes,"Pour souscrire aux offres mixtes, composez *720# ou appelez le 720.",
55.0,707 - Souscriptions offres Internet,"Pour souscrire aux offres internet, composez *707# ou appelez le 707.",
,Quelles sont les options disponibles pour partager internet avec une deuxième SIM ?,,"Djezzy propose l’option Confort Partage pour les clients Confort 1500, 2000 et 3000. Vous pouvez partager jusqu’à 60 Go sur une deuxième carte SIM."
,Comment fonctionne l’offre Confort Partage ?,,"Confort Partage permet d’ajouter une deuxième SIM afin de partager le volume internet du forfait principal avec un proche, une tablette ou un modem."
,Quels sont les tarifs des options Confort Partage ?,,Les options coûtent soit 50 DA/mois soit 150 DA/mois selon le volume internet choisi pour la deuxième SIM.
,Quels volumes internet puis-je partager avec Confort Partage ?,,"Selon votre forfait principal, vous pouvez partager entre 5 Go et 60 Go avec une deuxième SIM."
,Les frais de l’option partage remplacent-ils le forfait principal ?,,"Non, les frais de partage de 50 DA ou 150 DA s’ajoutent au prix mensuel du forfait principal Confort."
,Puis-je utiliser la deuxième SIM dans une tablette ou un modem ?,,"Oui, la deuxième SIM Confort Partage peut être utilisée dans une tablette, un modem ou un deuxième téléphone."
